Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,BIH,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93730059,16.45409169,17.37345505,16.82994248,15.85825866,15.81592526,18.99028269,18.09811283,17.58006674,18.21948157,17.88589884,16.75267368,17.98061226,17.98600779,17.01123935,15.80478338
Belarus,BLR,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09017495,12.344699,11.87140989,10.60841977,10.71916231,9.939871447,9.118739882,9.347006902,8.525916359,7.277318878,7.337648983,7.819253935,7.867430414,6.765911677,7.554811001,9.22524506,11.48043823,14.10813336,13.85395513,12.24551861,10.15076343
Belize,BLZ,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,28.01757262,26.55149366,24.56822749,26.89049142,27.51509151,24.75851415,,20.34848366,23.43812707,24.3129029,26.86230429,27.22114516,25.2745165,23.68052595,24.28070485,23.54234829,,21.01490059,17.76274566,18.43010709,19.13327558,20.31140676,19.73768666,19.22645283,20.26273119,13.99616829,13.73216843,11.42798713,11.88939316,11.90803779,16.13484675,12.18493852,13.00396358,12.72152298,14.85566338,16.53613892,12.50491741,14.00204001,13.64444384,22.65167753,20.76197239,21.02269921,20.52726775,20.18194461
Bermuda,BMU,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,25.23754319,27.65348568,29.13798938,27.95232356,26.36627717,28.54751802,24.73762492,25.34687978,24.85708725,21.12255155,22.70030279,20.40981208,20.36145014,19.99778766,19.72242419,,,21.72064895,,22.32659687,24.76113841,21.92301708,19.73730019,,20.66368247,,20.49537795,,,,,,,,,,,,,13.06512718,16.92792536,20.5957087,19.16944393,20.77467362,20.68295077,21.01378632,20.3912589,20.76447213
Bolivia,BOL,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,25.18383998,26.49264439,23.91037011,19.89885669,18.63623709,20.5548953,17.64429766,17.30910008,20.16897797,21.69477955,21.13627968,,21.81799242,17.47138174,15.0747394,14.00936804,13.84455807,13.83061198,18.92282281,14.54576603,18.85847464,20.37869849,16.81386432,18.31338854,13.37474043,18.08397582,11.27486995,16.75822235,11.53651112,11.04700144,11.23594636,9.431474021,10.10521385,9.59584062,10.50197753,8.73261758,7.991117884,9.692703237,13.52986394,14.90635411,13.28986787,13.3146564,11.56314114,10.26676265,9.326438449,10.45601581,9.359274092,9.154396719,7.692569405,8.03805178,7.312119885,7.232928205,7.529878638,6.939996179,8.533408401,8.336105782,7.616364767
Brazil,BRA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,15.85958694,17.06451007,24.10830694,19.81827096,18.81719312,20.00357071,16.38956126,13.91775617,10.91292528,8.896960994,7.64620521,10.91723468,7.588174374,6.159594815,7.855855302,6.759221758,10.11744583,11.85599561,9.602568067,8.77954606,8.456218596,8.257165212,9.306534968,8.966060754,15.25044666,8.110860772,5.054299197,9.877579212,9.399305554,11.22297054,9.558954467,9.732087708,10.93082722,10.710143,10.75932394,9.072676881,9.654533238,7.888408706,6.570903864,5.691852068,6.702757623,7.010916002,4.82052811,4.35981687,4.481749141,4.603144237,4.371929146,5.255824911,4.621447449,4.539570335,4.757339281,4.881456418,4.901112085,5.15604024,7.400880374,6.581901727,5.635750498
Barbados,BRB,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,27.68399848,26.50821166,25.13970238,24.52962524,25.57480495,27.00263784,27.67748707,26.46952288,25.27494353,24.59347371,22.86505265,22.95166385,19.32125533,17.90959317,17.45559728,17.00773225,14.88830298,14.45514713,14.99363491,15.59458984,19.40541749,19.78825099,18.38487249,17.38104052,18.63654237,21.63728821,19.89512595,20.56209043,18.26198097,17.67147444,17.68615617,16.73434336,16.31204298,15.42219996,17.15049091,18.86882299,17.04262571,20.09790989,15.09887509,15.32469381,20.36418374,18.9535385,20.63469419,24.91050846,18.58616437,19.00091309,19.6209443,19.74174508,21.48934847,21.14343455,21.95262189,22.60257056
Brunei Darussalam,BRN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,35.14836886,31.98231394,25.36853681,23.52607441,21.17581633,26.31565654,19.1310427,19.40012695,17.15904389,10.29820989,17.6759592,19.41941497,16.75379792,13.8609891,15.32766877,16.67038263,19.29048615,16.5295985,15.18033959,17.76608032,15.35714872,17.03121482,21.51934527,20.62247018,20.82901285,24.23774697,22.05038198,18.92772574,19.20149353,15.66681548,12.58096716,9.50077567,14.37019007,,,13.55190545,16.52172148,,,17.85415537,13.41016493,17.57044526,17.92053505,,17.02305056,15.7453971,14.94975219,14.7393169,16.96457601,14.11448406,14.03697226,15.02841914,15.40670792,15.69934312,18.58117991,14.9643001,12.10847786
Bhutan,BTN,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.30961236,14.02502284,19.39349763,21.46140915,,,,18.766411,17.86063815,,,,,,14.49406191,20.63892343,21.49968165,16.21288272,14.5820805,11.47358293,10.94864061,13.71962406,,,,,,
Botswana,BWA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24055112,13.94270729,15.49031504,13.86364767,14.35512414,13.81130868,13.7147433,13.11519485,11.96226967,13.06450661,12.36220168,10.45268428,8.951920825,10.07098298,8.850170603,8.720358774,11.04546774,12.50579063,11.91196169
