Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,BIH,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.548057529,4.381036656,5.770543695,4.929331692,5.387281954,5.971067448,7.687319738,7.317028991,6.814031192,7.43801916,7.486561389,7.017478526,8.526761775,9.347543676,8.651707617,6.901486982
Belarus,BLR,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.523019663,7.462182281,6.751524591,8.008869644,7.676977381,8.261291006,8.346367601,8.251853841,7.486301142,7.257455373,6.737132382,10.6935529,12.61922383,9.154085143,9.809999081,14.37837197,14.78067034,15.63777867,17.05970864,16.37513382,14.87880758
Belize,BLZ,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,77.41760617,63.20238181,61.87825573,65.14155014,76.23015647,79.42026042,,79.80624275,99.45134841,136.1084404,100.8460346,88.70084593,85.49200162,81.65334945,92.51355537,93.30045054,,78.41153457,76.74089492,79.45426567,86.46650686,79.39284731,85.49182007,83.74952364,10.90209557,87.25915931,34.58684844,21.523334,89.64092733,87.9602061,87.2984334,73.79676253,65.63918976,57.28944904,69.88181422,60.86101469,53.49673728,68.63365295,76.92203717,63.91315316,70.36624551,71.13323288,84.5835745,86.53484025
Bermuda,BMU,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,5.625363812,10.95052096,8.408120387,5.144411957,0.889426454,0.815698039,0.544185088,0.439038822,0.360193592,0.922847029,2.282387053,2.159297353,2.426865079,0.944943749,1.697053572,,,2.793317402,1.753380836,1.035715336,2.080442903,1.204142963,2.406936124,,1.502267055,,,,,,,,,,,,,,,,,23.54094152,1.993086227,23.79661413,44.83761538,66.14360588,47.75177757,19.29640795
Bolivia,BOL,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,3.429169549,2.265949518,2.531914831,1.806851518,4.571636609,4.77075497,2.621951171,2.421081229,2.690731986,4.507784874,3.769691833,5.395710863,4.599823469,5.350327568,9.799729424,7.004527046,6.137982756,7.415166195,8.017096674,3.286942956,4.418116113,4.231450406,2.584067652,3.744397694,9.167321758,9.498020178,8.583872817,13.16264724,18.9460815,17.00419773,13.94374334,16.53613009,22.60873347,21.47606087,28.63250197,32.11743095,30.03022051,26.19875516,30.24828674,31.35702075,33.88635802,30.9403869,27.36510473,20.81179799,14.66085286,15.30825277,14.20783501,19.61984169,15.26469187,12.90089329,14.52237524,16.99441224,15.90260334,17.75180092,22.74638303,16.86440964,17.77907225
Brazil,BRA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,71.14927029,73.75692538,69.29420913,67.33806462,68.91485909,68.0054225,68.76696766,64.62033968,63.25015853,59.92598094,62.71077683,61.7435166,57.8889466,54.08409353,59.59124975,61.59430113,51.96767906,46.54471738,46.26332164,41.37380081,39.63116567,40.31114347,38.76549048,36.77370935,34.41425197,32.29392073,29.3666368,27.25880498,27.69719518,24.93124179,25.40768143,25.27777755,29.07444331,28.72895244,30.26516288,31.26480815,29.84261616,28.94060613,23.39186076,27.62808922,27.91966927,28.6576574,27.99644601,25.77043106,25.0374139,26.34915274,27.5758311,34.20071243,30.39932357,30.50203084,32.19323839,34.30338719,35.3936614,37.59667412,37.29067642,36.10756555,34.05889501
Barbados,BRB,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,93.2477375,87.94541458,76.21321317,72.97992569,73.72195336,63.92192133,57.78346077,62.13630634,69.05840679,51.28617632,49.39837671,39.74889345,35.74745415,46.98861812,29.98356327,27.88091247,12.30426391,15.38189621,15.73887957,18.91750978,28.85870719,27.21665906,22.98119268,27.26402109,25.54407182,43.6520813,37.05780197,37.93723867,39.17725529,47.24601828,44.89716443,38.94415999,37.25949102,37.1631932,41.80848312,42.56162839,37.71371261,41.9501941,38.6238455,30.34724484,30.28455385,38.57065367,38.71774864,32.87015651,31.50488853,31.45309951,35.39007723,33.44277343,33.81151225,33.81258392,36.76963668,32.92869436
Brunei Darussalam,BRN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,0.07854924,0.021674411,0.020451512,0.045471946,0.014008095,0.038918513,0.122856939,0.315229037,0.341912166,0.423620713,0.342812031,0.217639754,0.074498843,0.06389706,0.035658042,0.028332358,0.013456269,0.005832356,0.00376944,0.005989401,0.005215551,0.00518791,0.006659249,0.006317022,0.006047356,0.003572008,0.002179417,0.002744161,0.000882643,0.000655989,0.000238091,0.000288021,,,,0.048265072,0.05109948,,,0.0103344,0.020297675,0.020107907,0.039123519,,0.088903362,0.063962886,0.034897917,0.023240267,0.03706385,0.037448744,0.046009564,0.160437597,0.389222062,0.110547468,0.165898174,0.188182627,0.080485447
Bhutan,BTN,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.85256117,26.27295652,23.12055133,23.26544487,,,,15.09204874,13.33226569,,,,,,10.64269806,12.86896597,10.23913701,48.31563245,6.094731917,7.17027914,8.452918706,6.936412173,,,,,,
Botswana,BWA,Food exports (% of merchandise exports),TX.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.787460034,3.137694827,3.539279416,2.363616421,2.494832857,2.591148079,2.698674212,2.832079299,2.901367793,5.145728768,5.08470487,2.235953557,2.038406429,2.326822227,1.976989945,2.209889001,1.711491607,1.769869547,1.803826521
