id,cuisine
913,mexican
914,korean
915,italian
916,southern_us
917,italian
918,southern_us
919,southern_us
920,greek
921,italian
922,cajun_creole
923,italian
924,italian
925,italian
926,greek
927,mexican
928,southern_us
929,italian
930,italian
931,southern_us
932,southern_us
933,southern_us
934,mexican
935,chinese
936,cajun_creole
937,mexican
938,southern_us
939,mexican
940,thai
941,italian
942,italian
943,greek
944,cajun_creole
945,greek
946,italian
947,filipino
948,italian
949,chinese
950,southern_us
951,southern_us
952,mexican
953,italian
954,cajun_creole
955,italian
956,chinese
957,italian
958,southern_us
959,cajun_creole
960,southern_us
961,italian
962,russian
963,french
964,french
965,italian
966,italian
967,italian
968,southern_us
969,southern_us
970,italian
971,southern_us
972,italian
973,italian
974,mexican
975,southern_us
976,southern_us
977,italian
978,southern_us
979,brazilian
980,french
981,italian
982,mexican
983,italian
984,mexican
985,mexican
986,italian
987,french
988,southern_us
989,greek
990,italian
991,italian
992,italian
993,italian
994,italian
995,mexican
996,italian
997,greek
998,irish
999,southern_us
1000,moroccan
1001,italian
1002,thai
1003,southern_us
1004,italian
1005,british
1006,filipino
1007,italian
1008,vietnamese
1009,mexican
1010,southern_us
1011,italian
1012,italian
1013,korean
1014,italian
1015,italian
1016,italian
1017,italian
1018,greek
1019,southern_us
1020,italian
1021,southern_us
1022,southern_us
1023,irish
1024,southern_us
1025,southern_us
1026,indian
1027,french
1028,jamaican
1029,spanish
1030,thai
1031,italian
1032,southern_us
1033,korean
1034,british
1035,moroccan
1036,italian
1037,moroccan
1038,french
1039,greek
1040,japanese
1041,french
1042,italian
1043,italian
1044,italian
1045,greek
1046,indian
1047,jamaican
1048,moroccan
1049,thai
1050,thai
1051,spanish
1052,jamaican
1053,cajun_creole
1054,british
1055,southern_us
1056,italian
1057,brazilian
1058,filipino
1059,thai
1060,italian
1061,jamaican
1062,british
1063,italian
1064,southern_us
1065,southern_us
1066,italian
1067,cajun_creole
1068,thai
1069,russian
1070,moroccan
1071,vietnamese
1072,italian
1073,italian
1074,southern_us
1075,italian
1076,jamaican
1077,chinese
1078,italian
1079,greek
1080,italian
1081,italian
1082,korean
1083,indian
1084,southern_us
1085,filipino
1086,italian
1087,japanese
1088,indian
1089,chinese
1090,indian
1091,french
1092,korean
1093,brazilian
1094,mexican
